smiles,docking_score
C/C=C/[C@@H]1O[C@@H]([C@H](C)CCC)C[C@@H]1O,-5.705
CCC(=O)C=C(C)C(C)C,-5.754
O=C(O[C@@H]1C=C[C@H](Cl)[C@](O)(CO)C1)c1ccccc1,-5.407
CNC[C@H]1O[C@@H](CC=O)[C@H](O)[C@@H]1O,-5.162
O=C(O)[C@@H]1O[C@H](O)[C@@]2(O)CCCO[C@@H]12,-3.93
NCCO[P@@](=O)(O)OC[C@@H](N)C(=O)O,-5.018
CCC[C@H](NC(=O)CC(C)CC)C(=O)NCCCCN,-5.678
C/C=C\C=C/C=C\C=C/C[C@H](O)C[C@H](O)/C=C\C[C@@H](C)O,-6.4
CC=CC(C)=CC=CC(C)=CCC1=C(C)CCCC1(C)C,-5.25
CCC(C)C(=O)OC[C@@]1(O)COC[C@@H]1O,-5.532
CC/C=C/C=C\C[C@@H](C)/C=C/C=C/C=C(C)C,-5.26
C=C1CCC[C@]2(C)[C@@H](O)C[CH]C[C@@H]12,-5.409
CO[C@H](CN)[C@H]1C(=O)C(C)=CC[C@@H]1O,-5.838
O=C(O)c1ncccc1-n1cccc1,-6.774
O=COC1CCOC(CO)C1O,-5.321
C/N=C(\O)C(C)(C)COC(=O)C/N=C(\O)C(C)NC,-4.864
CCCn1c(C)cc(O)c(CCC=O)c1=O,-6.5
CN1c2ccccc2Nc2ccccc21,-8.59
C[C@@H]([C@H](O)CO)[C@H](C/C=C/C=O)OC=O,-5.502
C=C1C[C@]23C[C@H]1CC[C@H]2[C@@H]1CC=C[C@@H](C)[C@H]1C3,-5.195
COc1cccc([C@@H]2COc3cc(O)cc(O)c3C2=O)c1,-6.902
CNC(=O)[C@]1(C)CNO1,-4.85
C=C(CCO)[C@H](OC(C)=O)[C@H]1CC(C)C[C@@H]1C=O,-4.292
C=CC1=C2CCOC(=O)C2=CO[C@H]1O,-6.841
COC(=O)[C@H](CCCN)NC(=O)c1ccccc1,-5.247
OC[C@]1(O)CO[C@@H](OC[C@H]2CC[C@H](O)CO2)[C@@H]1O,-5.312
CCCC[C@@H](C(=O)O)N(C)C(=O)OCc1ccccc1,-5.858
C/C=C(C)/C=C/[C@]1(C)[C@H](C)CCC(=O)[C@H]1C,-3.635
COC([C@H](O)CC=O)[C@@H](O)CC[C@@H](C)[C@@H](C)O,-5.698
CCO[C@H]1CC[C@H](O)[C@@H](CO[C@H]2OCC[C@@H](O)[C@@H]2O)O1,-6.53
COC(=O)CC(CO)OC(C)=O,-4.982
C[C@@H]1OC[C@@H](O)C[C@H]1O[C@@H]1OC[C@@H](O)[C@@H](O)[C@H]1O,-5.328
[CH2]CCC(=O)CCBr,-4.69
C=C1C(=O)O[C@H](C)[C@H]1[C@@H](CCC)OC(=O)C(=C)[C@@H](O)CO,-6.091
